序号	汉字	级别	GB/T 13000	GB 18030
362	圾	1	573E	BBF8
363	执	1	6267	D6B4
364	扩	1	6269	C0A9
365	扫	1	626B	C9A8
366	地	1	5730	B5D8
367	场	1	573A	B3A1
368	扬	1	626C	D1EF
369	耳	1	8033	B6FA
370	芋	1	828B	D3F3
371	共	1	5171	B9B2
372	芒	1	8292	C3A2
373	亚	1	4E9A	D1C7
374	芝	1	829D	D6A5
375	朽	1	673D	D0E0
376	朴	1	6734	C6D3
377	机	1	673A	BBFA
378	权	1	6743	C8A8
379	过	1	8FC7	B9FD
380	臣	1	81E3	B3BC
381	吏	1	540F	C0F4
382	再	1	518D	D4D9
383	协	1	534F	D0AD
384	西	1	897F	CEF7
385	压	1	538B	D1B9
386	厌	1	538C	D1E1
387	戌	1	620C	D0E7
388	在	1	5728	D4DA
389	百	1	767E	B0D9
390	有	1	6709	D3D0
391	存	1	5B58	B4E6
392	而	1	800C	B6F8
393	页	1	9875	D2B3
394	匠	1	5320	BDB3
395	夸	1	5938	BFE4
396	夺	1	593A	B6E1
397	灰	1	7070	BBD2
398	达	1	8FBE	B4EF
399	列	1	5217	C1D0
400	死	1	6B7B	CBC0
401	成	1	6210	B3C9
402	夹	1	5939	BCD0
403	夷	1	5937	D2C4
404	轨	1	8F68	B9EC
405	邪	1	90AA	D0B0
406	尧	1	5C27	D2A2
407	划	1	5212	BBAE
408	迈	1	8FC8	C2F5
409	毕	1	6BD5	B1CF
410	至	1	81F3	D6C1
411	此	1	6B64	B4CB
412	贞	1	8D1E	D5EA
413	师	1	5E08	CAA6
414	尘	1	5C18	B3BE
415	尖	1	5C16	BCE2
416	劣	1	52A3	C1D3
417	光	1	5149	B9E2
418	当	1	5F53	B5B1
419	早	1	65E9	D4E7
420	吁	1	5401	D3F5
421	吐	1	5410	CDC2
422	吓	1	5413	CFC5
423	虫	1	866B	B3E6
424	曲	1	66F2	C7FA
425	团	1	56E2	CDC5
426	吕	1	5415	C2C0
427	同	1	540C	CDAC
428	吊	1	540A	B5F5
429	吃	1	5403	B3D4
430	因	1	56E0	D2F2
431	吸	1	5438	CEFC
432	吗	1	5417	C2F0
433	吆	1	5406	DFBA
434	屿	1	5C7F	D3EC
435	屹	1	5C79	D2D9
436	岁	1	5C81	CBEA
437	帆	1	5E06	B7AB
438	回	1	56DE	BBD8
439	岂	1	5C82	C6F1
440	则	1	5219	D4F2
441	刚	1	521A	B8D5
442	网	1	7F51	CDF8
443	肉	1	8089	C8E2
444	年	1	5E74	C4EA
445	朱	1	6731	D6EC
446	先	1	5148	CFC8
447	丢	1	4E22	B6AA
448	廷	1	5EF7	CDA2
449	舌	1	820C	C9E0
450	竹	1	7AF9	D6F1
451	迁	1	8FC1	C7A8
452	乔	1	4E54	C7C7
453	迄	1	8FC4	C6F9
454	伟	1	4F1F	CEB0
455	传	1	4F20	B4AB
456	乒	1	4E52	C6B9
457	乓	1	4E53	C5D2
458	休	1	4F11	D0DD
459	伍	1	4F0D	CEE9
460	伏	1	4F0F	B7FC
461	优	1	4F18	D3C5
462	臼	1	81FC	BECA
463	伐	1	4F10	B7A5
464	延	1	5EF6	D1D3
465	仲	1	4EF2	D6D9
466	件	1	4EF6	BCFE
467	任	1	4EFB	C8CE
468	伤	1	4F24	C9CB
469	价	1	4EF7	BCDB
470	伦	1	4F26	C2D7
471	份	1	4EFD	B7DD
472	华	1	534E	BBAA
473	仰	1	4EF0	D1F6
474	仿	1	4EFF	B7C2
475	伙	1	4F19	BBEF
476	伪	1	4F2A	CEB1
477	自	1	81EA	D7D4
478	伊	1	4F0A	D2C1
479	血	1	8840	D1AA
480	向	1	5411	CFF2
481	似	1	4F3C	CBC6
482	后	1	540E	BAF3
483	行	1	884C	D0D0
484	舟	1	821F	D6DB
485	全	1	5168	C8AB
486	会	1	4F1A	BBE1
487	杀	1	6740	C9B1
488	合	1	5408	BACF
489	兆	1	5146	D5D7
490	企	1	4F01	C6F3
491	众	1	4F17	D6DA
492	爷	1	7237	D2AF
493	伞	1	4F1E	C9A1
494	创	1	521B	B4B4
495	肌	1	808C	BCA1
496	肋	1	808B	C0DF
497	朵	1	6735	B6E4
498	杂	1	6742	D4D3
499	危	1	5371	CEA3
500	旬	1	65EC	D1AE
501	旨	1	65E8	D6BC
502	旭	1	65ED	D0F1
503	负	1	8D1F	B8BA
504	匈	1	5308	D0D9
505	名	1	540D	C3FB
506	各	1	5404	B8F7
507	多	1	591A	B6E0
508	争	1	4E89	D5F9
509	色	1	8272	C9AB
510	壮	1	58EE	D7B3
511	冲	1	51B2	B3E5
512	妆	1	5986	D7B1
513	冰	1	51B0	B1F9
514	庄	1	5E84	D7AF
515	庆	1	5E86	C7EC
516	亦	1	4EA6	D2E0
517	刘	1	5218	C1F5
518	齐	1	9F50	C6EB
519	交	1	4EA4	BDBB
520	衣	1	8863	D2C2
521	次	1	6B21	B4CE
522	产	1	4EA7	B2FA
523	决	1	51B3	BEF6
524	亥	1	4EA5	BAA5
525	充	1	5145	B3E4
526	妄	1	5984	CDFD
527	闭	1	95ED	B1D5
528	问	1	95EE	CECA
529	闯	1	95EF	B4B3
530	羊	1	7F8A	D1F2
531	并	1	5E76	B2A2
532	关	1	5173	B9D8
533	米	1	7C73	C3D7
534	灯	1	706F	B5C6
535	州	1	5DDE	D6DD
536	汗	1	6C57	BAB9
537	污	1	6C61	CEDB
538	江	1	6C5F	BDAD
539	汛	1	6C5B	D1B4
540	池	1	6C60	B3D8
541	汝	1	6C5D	C8EA
542	汤	1	6C64	CCC0
543	忙	1	5FD9	C3A6
544	兴	1	5174	D0CB
545	宇	1	5B87	D3EE
546	守	1	5B88	CAD8
547	宅	1	5B85	D5AC
548	字	1	5B57	D7D6
549	安	1	5B89	B0B2
550	讲	1	8BB2	BDB2
551	讳	1	8BB3	BBE4
552	军	1	519B	BEFC
553	讶	1	8BB6	D1C8
554	许	1	8BB8	D0ED
555	讹	1	8BB9	B6EF
556	论	1	8BBA	C2DB
557	讼	1	8BBC	CBCF
558	农	1	519C	C5A9
559	讽	1	8BBD	B7ED
560	设	1	8BBE	C9E8
561	访	1	8BBF	B7C3
562	诀	1	8BC0	BEF7
563	寻	1	5BFB	D1B0
564	那	1	90A3	C4C7
565	迅	1	8FC5	D1B8
566	尽	1	5C3D	BEA1
567	导	1	5BFC	B5BC
568	异	1	5F02	D2EC
569	弛	1	5F1B	B3DA
570	孙	1	5B59	CBEF
571	阵	1	9635	D5F3
572	阳	1	9633	D1F4
573	收	1	6536	CAD5
574	阶	1	9636	BDD7
575	阴	1	9634	D2F5
576	防	1	9632	B7C0
577	奸	1	5978	BCE9
578	如	1	5982	C8E7
579	妇	1	5987	B8BE
580	妃	1	5983	E5FA
581	好	1	597D	BAC3
582	她	1	5979	CBFD
